Price,Address,Listing URL,Short Address,Zip,City,County,State,Beds,Baths,Footage,Raw Property Details,Price Per Sq. Ft.,Date Scraped,Latitude,Longitude,Broker Name,Status,Type,Lot Area,Lot Area Units,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Last Date Sold,Last Date Sold Price,Most Recent Date Listed for Sale,Most Recent Price Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Premium Status,Broker Phone (Premium Data),Listed By (Premium Data),Lister Phone (Premium Data),Agent Name (Premium Data),Agent Phone (Premium Data),Agent Email (Premium Data),Co-Agent Name (Premium Data),Co-Agent Phone (Premium Data),Buyer Agent Fee (Premium Data),Buyer Agent Name (Premium Data),Association Name (Premium Data),Association Fee (Premium Data),Monthly HOA Fees (Premium Data),Year Built (Premium Data),Stories (Premium Data),Heating (Premium Data),Cooling (Premium Data),Fireplace (Premium Data),Flooring (Premium Data),Foundation (Premium Data),Garage Capacity (Premium Data),Sewer (Premium Data),Subdivision (Premium Data),Property Condition (Premium Data),Roof Type (Premium Data),Virtual Tour (Premium Data),MLS Source (Premium Data),Parcel Id (Premium Data),Favorite Count (Premium Data),Page Views (Premium Data),Tax Paid (Most Recent) (Premium Data),Has Private Pool (Premium Data),Pool Features (Premium Data),Elementary School Rating (Premium Data),Middle School Rating (Premium Data),High School Rating (Premium Data),Transit Score (Premium Data),Walk Score (Premium Data),Bike Score (Premium Data),Description (Premium Data)
"$28,000","302 Laurel St, San Francisco, CA 94118","https://www.zillow.com/homedetails/302-Laurel-St-San-Francisco-CA-94118/15082218_zpid/","302 Laurel St","94118","San Francisco","San Francisco County","CA","5","4","3500","5 bds | 4 ba | 3500 sqft","$8","Thu, 2026-05-07","37.78848","-122.450134","","FOR_RENT","SINGLE_FAMILY","3500","sqft","","","","$19,100","$6,663,600","$4,144,978","","","$","Fri, 2012-06-08","$3,300,000","","","","0","","Elite-tier data preview","628-213-8192","Progressive Property Group, Inc. (Listed by management company)","(628) 213-8192","","628-213-8192","","","","","","","","","","","Fireplace","","Yes","Wood","","","","","","","","Zillow Rentals","1009021","","","$49,747","","","7","8","7","70","95","78","Welcome to 302 Laurel Street! 

Wonderfully large, recently renovated, 3,500+ square foot (per tax records), 5 plus bedroom, 3.5 bath, 4-level handsome home. This circa 1900 Victorian home offers elegant public spaces for grand entertaining plus many private areas for family intimate gatherings. Plus, a flat backyard and a deck and 1 car garage for easy parking, equipped with an EV charger. .

2 blocks from Laurel Village and quick walk to Julius Kahn Playground, the JCC, and all the delightful restaurants and shops on Sacramento Street!

GROUND LEVEL:
- 1-car garage with internal access to the home
- Large media room sink, bar, wine refrigerator; plus lovely French doors leading out to flat yard 
- Guest bedroom or home office; perfect privacy for guests or an au pair
- Bathroom with shower
- Tons of storage 

MAIN LEVEL:
- Beautiful formal living room with 3 walls of bay windows and a wood burning fireplace 
- Large formal dining room that comfortably seats 10-12; 
- Spacious chef's kitchen with top-of-the-line appliances, including Subzero refrigerator, 6 burner Wolf gas stove, dishwasher. PLUS room for an informal dining room.
- Formal dining room and kitchen with access to the rear yard.
- Guest powder room. 

3rd LEVEL:
- 2 bedrooms and 2 baths, including beautiful main suite. Main bedroom has spa like en suite bathroom with shower and deep soaking tub, plus a HUGE walk-in closet (has been used as an additional bedroom). 
- 2nd bedroom comes equipped with a wet bar and a functional wood burning fireplace and views of the Golden Gate. 
- Laundry area. 

TOP LEVEL:
Huge office with GG views
- Children's study / game area/ family room 
- Two additional bedrooms
- Full size bathroom 

ADDITIONAL FEATURES INCLUDE:
- Backyard, accessible from ground level and main level, includes recently built deck, great for an outdoor entertainment and grilling, professionally landscaped. 
- Ample storage throughout the house
- Great natural light throughout the entire house. 
- Hardwood floors in most rooms, with partial carpeting and tile. 
- Custom window coverings. 
- Wi-Fi security cameras. 

TERMS:
- Available for mid to late June occupancy 
- Monthly Rent: $28,000
- Minimum 12 month lease 
- Security Deposit: 1.5x one month rent
- Tenant pays all utilities including landscape maintenance 
- Cat or a small dog considered with a deposit of 2 month rent 
- No smoking

Address: 302 Laurel x Sacramento Street, San Francisco, CA 94118 

24-hour minimum showing notice required 

CA DRE License # 01905856
Progressive Property Group, Inc.Show more"
"$9,995","262 Guerrero St, San Francisco, CA 94103","https://www.zillow.com/homedetails/262-Guerrero-St-San-Francisco-CA-94103/241586228_zpid/","262 Guerrero St","94103","San Francisco","San Francisco County","CA","4","2","1432","4 bds | 2 ba | 1432 sqft","$6.98","Thu, 2026-05-07","37.767","-122.42469","","FOR_RENT","APARTMENT","1432","sqft","","","","$5,882","$1,495,500","$1,177,000","","","$","Thu, 2016-03-24","$1,120,000","","","","0","","Elite-tier data preview","","Alexander Lurie (Listed by property owner)","","","","","","","","","","","","","","","","","Hardwood","","","","","","","","Zillow Rentals","3545145","","","$14,728","","","2","1","3","100","99","99","Magnificent Mission Dolores Condo with Beautiful Backyard and Storage

Available for rent starting May 21st. 12-month lease minimum (multi-year lease preferred). Unfurnished.
 
*Neighborhood: Mission Dolores / Inner Mission
*Bedrooms: 3-4 spacious bedrooms (living room could live like a fourth bedroom)
*Bathrooms: 1 BA (split)
*In-unit washer-dryer
*Yard: LARGE backyard
*Style: Condo
*Lease Term: 1 Year+
*Square Feet: 1,400+ sqft per tax records
*Large living/dining room
*Updated chef's kitchen (gas-stove) with custom cabinetry and new Bosch stainless appliances (not featured in photos)
*Refinished, full-wood oak floor
*Forced-air heating
*Unfurnished
*Pets Permitted (Non aggressive breeds)
*Tenant responsibly for all utilities 
 
The home is situated in the perfect location in the city with a 100 Transit Score, 99 Walk Score and 99 Bike Score!
 
In the epicenter of vibrant Mission-Dolores, this stylish 3-4 bedroom + large living room (could be used as a fourth bedroom), split bathroom condo in Mission Dolores is the epitome of San Francisco living. The home is bathed in natural sunlight and has been given a modern update while maintaining its historic appeal. Combining the beauty of this classic building with access to some of the most vibrant neighborhoods in SF, this condo has it all.
 
Built for entertaining, this is the home to host dinner parties, have friends over for drinks, have ample space to work from home, or just stretch out for a night in. The living room is sunny and bright overlooking the large shared backyard. The kitchen is spacious and updated and opens onto an attached dining area (enjoy the fully equipped gas kitchen with new stainless Bosch appliances which are not currently featured in the photos). This condo boasts three very spacious bedrooms plus the large living room (could be used as a spacious fourth bedroom), each with period architectural detailing, high ceilings, big windows, and refinished wood floors. Two of the bedrooms have bay windows that can be used for an office or sitting area.
 
The property features all the best details of great San Francisco homes with soaring ceilings and architectural details such as wainscoting, original trim, pocket doors, and ceiling medallions. There are freshly refinished wood floors and modern designer lighting. The home is completed with new in-unit laundry and a massive storage unit that can be accessed from the street level, great for storing bikes and gear. Leased parking is available off-site.
 
The building is set on an oversized lot and the home overlooks a serene and park-like shared backyard with a sitting and dining area. It features a gorgeous freshly painted facade, new wood windows on the front of the building, a new back staircase, and many recent electrical and plumbing upgrades.
 
Neighborhood:
Located in an A+ location in one of San Francisco's sunny micro climates, the condo is steps from Dolores Park/Valencia corridor/Inner Mission. The neighborhood features Mission-Dolores park (a few minutes walk from the property) and vibrant and exciting world-class restaurants, coffee shops, and boutiques. Walk down tree lined streets, enjoy some afternoon tennis and savor a new flavor of ice cream at Bi Rite Creamery. Close to MUNI, BART, tech shuttles and freeway access.

*Rent: $9,995
*Deposit: $7,500
*Lease Term: 12-month minimum (multi-year lease preferred)
*Parking: Leased parking available nearbyShow more"
"$7,995","2754 Pierce St #11, San Francisco, CA 94123","https://www.zillow.com/homedetails/2754-Pierce-St-11-San-Francisco-CA-94123/2077554284_zpid/","2754 Pierce St #11","94123","San Francisco","San Francisco County","CA","2","2","0","2 bds | 2 ba ","","Thu, 2026-05-07","37.79559","-122.438286","","FOR_RENT","APARTMENT","","","","","","$2,361","","","","","$","","","","","","0","","Elite-tier data preview","216-400-5362","Mike (Listed by management company)","(216) 400-5362","Mike","216-400-5362","","","","","","","","","","","","","","Hardwood","","","","","","","","Zillow Rentals","","","","","","","3","8","7","75","96","59","2754 Pierce
Neighborhood Info: Pacific Heights, 1 block from Union street shopping/restaurants
Cross Streets: Green/Pierce
Floor Surface: Hardwood
Range: Gas
Nice Moldings
High Ceilings
Private patio
Private office
Living room can be used as a 3rd bedroom
Utilities Included: Trash, Water, Heat via radiator
Private garage parking: $295/month
Laundry: In-unit
Lease Term: One Year Minimum
Security Deposit: 1 month's rent
Pets: Cats and dogs under 50lbs. (no pit bulls or German shepherds) w/ additional $250 pet deposit

OFFERED BY:
WM Properties, Inc.
DRE LIC. 01235912

1-year initial term, converts to month-to-month, rent-controlledShow more"
"$6,440","325 Octavia St, San Francisco, CA 94102","https://zillow.com/apartments/san-francisco-ca/avalon-hayes-valley/5Yy6Gw/","325 Octavia St","94102","San Francisco","San Francisco County","CA","0","","0","{""unit_1"":{""baths"":1,""beds"":0,""sqft"":467,""maxPrice"":3520,""minPrice"":3520},""unit_2"":{""baths"":1,""beds"":0,""sqft"":449,""maxPrice"":3635,""minPrice"":3635},""unit_3"":{""baths"":1,""beds"":1,""sqft"":638,""maxPrice"":4635,""minPrice"":4635},""unit_4"":{""baths"":2,""beds"":2,""sqft"":1112,""maxPrice"":6440,""minPrice"":6440},""unit_5"":{""baths"":2,""beds"":2,""sqft"":1127,""maxPrice"":6745,""minPrice"":6745},""unit_6"":{""baths"":2,""beds"":2,""sqft"":1218,""maxPrice"":6770,""minPrice"":6770},""unit_7"":{""baths"":2,""beds"":2,""sqft"":1107,""maxPrice"":6785,""minPrice"":6785}}","","Thu, 2026-05-07","37.774963","-122.42512","","FOR_RENT","","","","$6,440+ 2 bds","$6,440","$6,440","","","","","","$","","","","","","","","Elite-tier data preview","","Avalon Hayes Valley","(415) 798-2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","3","100","99","79","Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes.

Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes. Convenient to the BART, MUNI, and the 101/I-80 freeway ramp, these San Francisco apartments feature gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Community amenities include a fitness center and beautifully landscaped rooftop terraces with outdoor seating and BBQs. Avalon Hayes Valley is located in the heart of the San Francisco; convenient to downtown, Civic Center, the Mission, SOMA and the Castro."
"$3,520","325 Octavia St, San Francisco, CA 94102 - S1_467","https://www.zillow.com/rental-manager/price-my-rental/results/325-octavia-st_-san-francisco_-ca-94102/","325 Octavia St","94102","San Francisco","San Francisco County","CA","",1,467,"Deposits and Fees: 750, Additional Information: 24-hour emergency maintenance Barbecue Bike and car rental for residents Complimentary WiFi in common areas Complimentary package acceptance service Fitness On Demand Garbage included in rent In the heart of the city On site restaurant On site secured bike parking Outdoor flat screen TVs Professionally landscaped courtyards Smoke Free TV Lounge View Type: Rooftop terraces with skyline views WAG pet wash","","Thu, 2026-05-07","37.774963","-122.42512","","","Unit","","","$6,440+ 2 bds",3520,3520,"","","","","","$","","","","","","","","Elite-tier data preview","","Avalon Hayes Valley","(415) 798-2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","3","100","99","79","Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes.

Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes. Convenient to the BART, MUNI, and the 101/I-80 freeway ramp, these San Francisco apartments feature gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Community amenities include a fitness center and beautifully landscaped rooftop terraces with outdoor seating and BBQs. Avalon Hayes Valley is located in the heart of the San Francisco; convenient to downtown, Civic Center, the Mission, SOMA and the Castro."
"$3,635","325 Octavia St, San Francisco, CA 94102 - S1_446","https://www.zillow.com/rental-manager/price-my-rental/results/325-octavia-st_-san-francisco_-ca-94102/","325 Octavia St","94102","San Francisco","San Francisco County","CA","",1,449,"Deposits and Fees: 750, Additional Information: 24-hour emergency maintenance Barbecue Bike and car rental for residents Complimentary WiFi in common areas Complimentary package acceptance service Fitness On Demand Garbage included in rent In the heart of the city On site restaurant On site secured bike parking Outdoor flat screen TVs Professionally landscaped courtyards Smoke Free TV Lounge View Type: Rooftop terraces with skyline views WAG pet wash","","Thu, 2026-05-07","37.774963","-122.42512","","","Unit","","","$6,440+ 2 bds",3635,3635,"","","","","","$","","","","","","","","Elite-tier data preview","","Avalon Hayes Valley","(415) 798-2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","3","100","99","79","Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes.

Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes. Convenient to the BART, MUNI, and the 101/I-80 freeway ramp, these San Francisco apartments feature gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Community amenities include a fitness center and beautifully landscaped rooftop terraces with outdoor seating and BBQs. Avalon Hayes Valley is located in the heart of the San Francisco; convenient to downtown, Civic Center, the Mission, SOMA and the Castro."
"$4,635","325 Octavia St, San Francisco, CA 94102 - A2_719","https://www.zillow.com/rental-manager/price-my-rental/results/325-octavia-st_-san-francisco_-ca-94102/","325 Octavia St","94102","San Francisco","San Francisco County","CA",1,1,638,"Deposits and Fees: 750, Additional Information: 24-hour emergency maintenance Barbecue Bike and car rental for residents Complimentary WiFi in common areas Complimentary package acceptance service Fitness On Demand Garbage included in rent In the heart of the city On site restaurant On site secured bike parking Outdoor flat screen TVs Professionally landscaped courtyards Smoke Free TV Lounge View Type: Rooftop terraces with skyline views WAG pet wash","","Thu, 2026-05-07","37.774963","-122.42512","","","Unit","","","$6,440+ 2 bds",4635,4635,"","","","","","$","","","","","","","","Elite-tier data preview","","Avalon Hayes Valley","(415) 798-2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","3","100","99","79","Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes.

Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes. Convenient to the BART, MUNI, and the 101/I-80 freeway ramp, these San Francisco apartments feature gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Community amenities include a fitness center and beautifully landscaped rooftop terraces with outdoor seating and BBQs. Avalon Hayes Valley is located in the heart of the San Francisco; convenient to downtown, Civic Center, the Mission, SOMA and the Castro."
"$6,440","325 Octavia St, San Francisco, CA 94102 - B8_Corner Unit_1111","https://www.zillow.com/rental-manager/price-my-rental/results/325-octavia-st_-san-francisco_-ca-94102/","325 Octavia St","94102","San Francisco","San Francisco County","CA",2,2,1112,"Deposits and Fees: 750, Additional Information: 24-hour emergency maintenance Barbecue Bike and car rental for residents Complimentary WiFi in common areas Complimentary package acceptance service Fitness On Demand Garbage included in rent In the heart of the city On site restaurant On site secured bike parking Outdoor flat screen TVs Professionally landscaped courtyards Smoke Free TV Lounge View Type: Rooftop terraces with skyline views WAG pet wash","","Thu, 2026-05-07","37.774963","-122.42512","","","Unit","","","$6,440+ 2 bds",6440,6440,"","","","","","$","","","","","","","","Elite-tier data preview","","Avalon Hayes Valley","(415) 798-2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","3","100","99","79","Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes.

Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes. Convenient to the BART, MUNI, and the 101/I-80 freeway ramp, these San Francisco apartments feature gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Community amenities include a fitness center and beautifully landscaped rooftop terraces with outdoor seating and BBQs. Avalon Hayes Valley is located in the heart of the San Francisco; convenient to downtown, Civic Center, the Mission, SOMA and the Castro."
"$6,745","325 Octavia St, San Francisco, CA 94102 - B3T","https://www.zillow.com/rental-manager/price-my-rental/results/325-octavia-st_-san-francisco_-ca-94102/","325 Octavia St","94102","San Francisco","San Francisco County","CA",2,2,1127,"Deposits and Fees: 750, Additional Information: 24-hour emergency maintenance Barbecue Bike and car rental for residents Complimentary WiFi in common areas Complimentary package acceptance service Fitness On Demand Garbage included in rent In the heart of the city On site restaurant On site secured bike parking Outdoor flat screen TVs Professionally landscaped courtyards Smoke Free TV Lounge View Type: Rooftop terraces with skyline views WAG pet wash","","Thu, 2026-05-07","37.774963","-122.42512","","","Unit","","","$6,440+ 2 bds",6745,6745,"","","","","","$","","","","","","","","Elite-tier data preview","","Avalon Hayes Valley","(415) 798-2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","3","100","99","79","Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes.

Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes. Convenient to the BART, MUNI, and the 101/I-80 freeway ramp, these San Francisco apartments feature gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Community amenities include a fitness center and beautifully landscaped rooftop terraces with outdoor seating and BBQs. Avalon Hayes Valley is located in the heart of the San Francisco; convenient to downtown, Civic Center, the Mission, SOMA and the Castro."
"$6,770","325 Octavia St, San Francisco, CA 94102 - B3T_1220","https://www.zillow.com/rental-manager/price-my-rental/results/325-octavia-st_-san-francisco_-ca-94102/","325 Octavia St","94102","San Francisco","San Francisco County","CA",2,2,1218,"Deposits and Fees: 750, Additional Information: 24-hour emergency maintenance Barbecue Bike and car rental for residents Complimentary WiFi in common areas Complimentary package acceptance service Fitness On Demand Garbage included in rent In the heart of the city On site restaurant On site secured bike parking Outdoor flat screen TVs Professionally landscaped courtyards Smoke Free TV Lounge View Type: Rooftop terraces with skyline views WAG pet wash","","Thu, 2026-05-07","37.774963","-122.42512","","","Unit","","","$6,440+ 2 bds",6770,6770,"","","","","","$","","","","","","","","Elite-tier data preview","","Avalon Hayes Valley","(415) 798-2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","3","100","99","79","Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes.

Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes. Convenient to the BART, MUNI, and the 101/I-80 freeway ramp, these San Francisco apartments feature gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Community amenities include a fitness center and beautifully landscaped rooftop terraces with outdoor seating and BBQs. Avalon Hayes Valley is located in the heart of the San Francisco; convenient to downtown, Civic Center, the Mission, SOMA and the Castro."
