Price,Address,Listing URL,Short Address,Zip,City,County,State,Beds,Baths,Footage,Raw Property Details,Price Per Sq. Ft.,Date Scraped,Latitude,Longitude,Broker Name,Status,Type,Lot Area,Lot Area Units,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Last Date Sold,Last Date Sold Price,Most Recent Date Listed for Sale,Most Recent Price Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Premium Status,Broker Phone (Premium Data),Listed By (Premium Data),Lister Phone (Premium Data),Agent Name (Premium Data),Agent Phone (Premium Data),Agent Email (Premium Data),Co-Agent Name (Premium Data),Co-Agent Phone (Premium Data),Buyer Agent Fee (Premium Data),Buyer Agent Name (Premium Data),Association Name (Premium Data),Association Fee (Premium Data),Monthly HOA Fees (Premium Data),Year Built (Premium Data),Stories (Premium Data),Heating (Premium Data),Cooling (Premium Data),Fireplace (Premium Data),Flooring (Premium Data),Foundation (Premium Data),Garage Capacity (Premium Data),Sewer (Premium Data),Subdivision (Premium Data),Property Condition (Premium Data),Roof Type (Premium Data),Virtual Tour (Premium Data),MLS Source (Premium Data),Parcel Id (Premium Data),Favorite Count (Premium Data),Page Views (Premium Data),Tax Paid (Most Recent) (Premium Data),Has Private Pool (Premium Data),Pool Features (Premium Data),Elementary School Rating (Premium Data),Middle School Rating (Premium Data),High School Rating (Premium Data),Transit Score (Premium Data),Walk Score (Premium Data),Bike Score (Premium Data),Description (Premium Data)
"$15,950","3 Cananea Pl, Burlingame, CA 94010","https://www.zillow.com/homedetails/3-Cananea-Pl-Burlingame-CA-94010/15514424_zpid/","3 Cananea Pl","94010","Burlingame","San Mateo County","CA","5","4","0","5 bds | 4 ba ","","Thu, 2026-04-23","37.574394","-122.39394","","FOR_RENT","SINGLE_FAMILY","","","","","","$7,786","$2,519,200","$1,859,195","","","$","Tue, 2019-08-13","$1,657,500","Fri, 2019-06-21","$1,898,000","","150","","Elite-tier data preview","","Ethan (Listed by property owner)","","","","","","","","","","","","","","","","","","","","","","","","","Zillow Rentals","027047010","","","$21,607","","","10","10","10","","13","19","Brand new construction in prime Burlingame hills! Ideal place for tech co-living and hosting events! This 5 bedroom, 3.5 bath house offers European white oak hardwood flooring, 14 feet high pitch ceilings, large windows brings a lot of light, all brand new stainless steel appliances! Easy commute to both Silicon Valley and San Francisco, 10-min ride to San Francisco International Airport!

Tenant pays for utilities.Show more"
"$14,500","158 Los Robles Dr, Burlingame, CA 94010","https://www.zillow.com/homedetails/158-Los-Robles-Dr-Burlingame-CA-94010/15514607_zpid/","158 Los Robles Dr","94010","Burlingame","San Mateo County","CA","5","4","4000","5 bds | 4 ba | 4000 sqft","$3.63","Thu, 2026-04-23","37.57615","-122.39082","","FOR_RENT","SINGLE_FAMILY","4000","sqft","","","","$9,999","$3,789,100","$2,624,746","","","$","Wed, 2019-07-24","$2,400,000","Mon, 2019-03-11","$3,295,000","","16","","Elite-tier data preview","","Vince Laherrere (Listed by listing agent)","","Vince Laherrere","","","","","","","","","","","","Forced Air","Central Air","","Carpet, Hardwood, Tile","","","","","","","https://www.zillow.com/view-imx/e86a11ba-7a99-4112-80ae-ce2728b13821/?hidePhotos=true&initialViewType=pano","Zillow Rentals","027081200","","","$32,365","","","8","10","10","","14","8","Perched in the prestigious Burlingame Hills, this breathtaking estate at 158 Los Robles Drive offers an exceptional luxury leasing opportunity at $14,500 per month. This expansive five-bedroom, four-bathroom residence blends architectural elegance with modern sophistication, creating a truly elevated living experience.

Inside, a stunning atrium-style living space welcomes you with soaring ceilings, exposed wood beams, dramatic skylights, and exquisite handcrafted copper lighting. The heart of the home is a designer chef's kitchen, outfitted with custom cabinetry and premium finishes, ideal for both everyday living and refined entertaining. A striking brick fireplace anchors the main living area, adding warmth and character.

The primary suite serves as a private retreat, featuring a spa-inspired bathroom adorned with rare Michael Angelo Calcutta marble and a sculptural freestanding soaking tub. Throughout the home, high-end fiberglass dual-pane windows and doors provide both energy efficiency and quiet comfort.

Modern conveniences abound, including an attached two-car garage, a Tesla EV charging station, and a whole-home backup generator ensuring seamless living at all times. Outdoors, a beautifully designed low-maintenance backyard and patio create a serene setting for relaxation or entertaining.

Ideally located, the property offers immediate access to scenic hiking trails, as well as convenient connectivity via Interstate 280 for effortless commuting to San Francisco International Airport and the vibrant shops and dining of downtown Burlingame. Situated within the highly regarded Burlingame School District, this home provides access to top-tier local schools.

This is a rare opportunity to lease a truly exceptional home in one of Burlingame's most coveted neighborhoods.

Tenant is responsible for all utilities.Show more"
"$9,995","1517 Balboa Ave, Burlingame, CA 94010","https://www.zillow.com/homedetails/1517-Balboa-Ave-Burlingame-CA-94010/15512668_zpid/","1517 Balboa Ave","94010","Burlingame","San Mateo County","CA","3","3","1798","3 bds | 3 ba | 1798 sqft","$5.56","Thu, 2026-04-23","37.5886","-122.37647","","FOR_RENT","SINGLE_FAMILY","1798","sqft","","","","$7,226","$3,017,800","$2,320,500","","","$","Mon, 2024-03-18","$2,275,000","Fri, 2023-12-08","$2,449,000","","18","","Elite-tier data preview","","Vince (Listed by management company)","","Vince","","","","","","","","","","","","Baseboard, Forced Air, Wall Furnace","Central Air, Wall Unit","","Hardwood","","","","","","","","Zillow Rentals","026012020","","","$26,547","","","8","10","10","","69","65","Located on a tree lined street, 1517 Balboa Ave is a well maintained single family home offering approximately 1,798 square feet of interior space, with 3 bedrooms and 3 bathrooms. Two houses down from Ray Park and steps away from Lincoln Elementary.

This split level house has a large open living/family room with a fireplace. Dinning room opens up to the kitchen which connects to a breakfast nook and bathroom. Kitchen is equipped with stainless steel refrigerator, dishwasher, and gas range/oven, and a low profile microwave drawer. The large island provides additional cabinetry and counter space. 

Upstairs consist of three bedrooms and two bathrooms filled with natural lights and multiple windows in every room. One ensuite with a tub and a large bathroom with dual sinks. Front loading washer and gas dryer are located in the garage.

A/C and heating in the house provides 5 zones capable of producing different temperatures in various parts of the house.

EV capable garage can easily fit two vehicles tandem. The long driveway can accommodate an additional large vehicle or two compact cars. 

Large front yard with endless possibilities. Low maintenance backyard is suitable for outdoor seating or gardening. Large unfinished basement was a workshop and can be used for storage or turned into hobby room. ADU in the back of the property is not included and has its own separate entrance, separate PG&E meter, separate garbage. 

Renters will be responsible for utilities including, water, PG&E, garbage and yard maintenance.

Open to discussing $9000/mo for a 2 year lease.

Dre #01895155

No Smoking. Renter to pay all utilities.Show more"
"$9,850","25 Warmwood Way, Hillsborough, CA 94010","https://www.zillow.com/homedetails/25-Warmwood-Way-Hillsborough-CA-94010/15519440_zpid/","25 Warmwood Way","94010","Hillsborough","San Mateo County","CA","3","3","2510","3 bds | 3 ba | 2510 sqft","$3.92","Thu, 2026-04-23","37.553318","-122.369545","","FOR_RENT","SINGLE_FAMILY","2510","sqft","","","","$8,444","$4,133,900","$2,154,989","","","$","Mon, 2012-08-20","$1,750,000","Tue, 2012-02-14","$1,899,000","","7","","Elite-tier data preview","","Green Banker (Listed by listing agent)","","Green Banker","","","","","","","","","","","","Forced Air","Central Air","","Carpet, Hardwood, Tile","","","","","","","","Zillow Rentals","030101150","","","$30,167","true","Pool","9","8","10","","7","12","iscover refined living at 25 Warmwood Way, a stunning residence in Hillsborough's Carolands neighborhood. A long, private driveway leads to an expansive motor court and a 2-car garage, offering ample parking and a grand sense of arrival. Inside, the thoughtfully designed layout flows seamlessly from the foyer. To the left, a formal dining room connects to a sun-drenched breakfast nook and a chef's kitchen with premium stainless-steel appliances, custom cabinetry, and a breakfast bar. A private bedroom, full bathroom, and laundry room with garage access are perfectly situated off the kitchen. To the right of the foyer, the formal living room invites relaxation with its cozy fireplace, while an adjacent family room provides additional space for gathering. Every living area opens to a spectacular backyard oasis, complete with a patio, sparkling pool and spa, expansive deck, and lush lawn; ideal for indoor-outdoor entertaining. The home's private quarters include 2 additional bedrooms and bathrooms, headlined by a luxurious primary suite. Perfectly located for the modern commuter, this property offers easy access to the I-280 freeway. Experience the quintessential Hillsborough lifestyle in this exceptional home that balances elegance with comfort. Welcome home to 25 Warmwood Way.

Tenant shall be responsible for payment of all utilities. Landlord shall provide and pay for pool maintenance and gardening services, which are included in the rent. The lease term shall be for a minimum period of one (1) year.Show more"
"$9,000","3051 Atwater Dr, Burlingame, CA 94010","https://www.zillow.com/homedetails/3051-Atwater-Dr-Burlingame-CA-94010/15512517_zpid/","3051 Atwater Dr","94010","Burlingame","San Mateo County","CA","4","3","2400","4 bds | 3 ba | 2400 sqft","$3.75","Thu, 2026-04-23","37.580597","-122.39753","","FOR_RENT","SINGLE_FAMILY","2400","sqft","","","","$7,866","$3,599,100","$1,365,794","","","$","Fri, 2026-04-10","$3,600,000","Sat, 2026-03-28","$2,850,000","","7","","Elite-tier data preview","424-677-2404","Hadi (Listed by property owner)","(424) 677-2404","","","","","","","","","","","","","Forced Air","","","Hardwood","","","","","","","","Zillow Rentals","025333230","","","$16,262","","","10","10","10","","12","15","Nestled in the prestigious Burlingame Hills, this beautifully maintained 4-bedroom, 2.5-bath single-family home offers an exceptional blend of space, privacy, and convenience.

Set on an expansive lot, the home features approximately 2,400 square feet of living space with a functional and light-filled layout. Large windows bring in abundant natural light, while multiple living areas provide flexibility for both everyday living and entertaining.

The spacious backyard is a rare find perfect for outdoor relaxation, family activities, or hosting gatherings. Mature landscaping enhances the sense of privacy and tranquility.

Located on a quiet residential street, the home is just minutes from top-rated Burlingame schools, parks, and the vibrant downtown areas of Burlingame Avenue and Broadway, offering dining, shopping, and easy commuter access.

Additional features include:
 Attached garage and ample driveway parking
 In-unit laundry
 Generous storage throughout
 Gardener service included

Tenant responsible for utilities. No smoking. Pets considered. Property is offered unfurnished.

This is a rare opportunity to lease a well-appointed home in one of Burlingame's most desirable neighborhoods.

Available now. Minimum 12-month lease.

Minimum 12-month lease term
 Security deposit equal to one month's rent (in compliance with California law)
 Tenant responsible for all utilities, including electricity, gas, water, and trash
 Gardener service provided by owner
 Renter's insurance is recommended
 Non-smoking property (no smoking permitted anywhere on the premises)
 Up to two pets allowed, subject to owner approval
 First month's rent and security deposit due at lease signing
 Property is offered unfurnished; any furniture shown in photos is for staging purposes only and is not included in the rental.Show more"
"$9,000","1824 Black Mountain Rd, Hillsborough, CA 94010","https://www.zillow.com/homedetails/1824-Black-Mountain-Rd-Hillsborough-CA-94010/15519627_zpid/","","94010","Hillsborough","","CA","3","3","2110","3 bds | 3 ba | 2110 sqft","$4.27","Thu, 2026-04-23","37.54655","-122.36697","","FOR_RENT","SINGLE_FAMILY","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$8,380","237 42nd Ave, San Mateo, CA 94403","https://www.zillow.com/homedetails/237-42nd-Ave-San-Mateo-CA-94403/15545214_zpid/","","94403","San Mateo","","CA","4","2","2260","4 bds | 2 ba | 2260 sqft","$3.71","Thu, 2026-04-23","37.52667","-122.29773","","FOR_RENT","SINGLE_FAMILY","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,995","91 31st Ave, San Mateo, CA 94403","https://www.zillow.com/homedetails/91-31st-Ave-San-Mateo-CA-94403/15538072_zpid/","","94403","San Mateo","","CA","4","3","1770","4 bds | 3 ba | 1770 sqft","$4.52","Thu, 2026-04-23","37.53724","-122.30263","","FOR_RENT","SINGLE_FAMILY","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,800","1149 Millbrae Ave, Millbrae, CA 94030","https://www.zillow.com/homedetails/1149-Millbrae-Ave-Millbrae-CA-94030/15509966_zpid/","","94030","Millbrae","","CA","4","3","2640","4 bds | 3 ba | 2640 sqft","$2.95","Thu, 2026-04-23","37.592514","-122.40092","","FOR_RENT","SINGLE_FAMILY","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,000","840 Alameda De Las Pulgas, Belmont, CA 94002","https://www.zillow.com/homedetails/840-Alameda-De-Las-Pulgas-Belmont-CA-94002/15549013_zpid/","","94002","Belmont","","CA","3","2","1540","3 bds | 2 ba | 1540 sqft","$4.55","Thu, 2026-04-23","37.513668","-122.2951","","FOR_RENT","SINGLE_FAMILY","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
